"","ZIPCODE","POPULATION","AREA","COUNTY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","density"
"162","11105",36906,48795608.0799341,"Queens",NA,NA,NA,NA,NA,NA,NA,253.5,290.916666666667,331.333333333333,394.416666666667,388.083333333333,389.083333333333,378.416666666667,369.5,371.083333333333,376.846153846154,392.75,432.583333333333,471.333333333333,520.166666666667,574,7.56
"74","10128",55748,11011681.5568226,"New York",NA,NA,NA,NA,NA,NA,NA,NA,722,753.25,866.75,935,990.083333333333,867.583333333333,860.583333333333,880.416666666667,871.692307692308,949.916666666667,1040.58333333333,1075.66666666667,1196.91666666667,1245.4,50.63
"25","10023",62800,15212712.6781593,"New York",NA,NA,NA,NA,NA,NA,NA,NA,1046.5,1060.66666666667,1206.16666666667,1279.58333333333,1353.91666666667,1214,1079.41666666667,1120.58333333333,1155.23076923077,1265.66666666667,1397.33333333333,1484.91666666667,1619.33333333333,1601.2,41.28
"214","11363",7060,24242790.0234975,"Queens",NA,NA,NA,NA,NA,NA,NA,339.5,383.5,430.333333333333,499.5,485.916666666667,486.166666666667,464.916666666667,444.583333333333,422.75,434,439.083333333333,471.916666666667,497.333333333333,544.166666666667,585,2.91
"30","10028",47530,9842046.4797,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.29
"205","11354",58525,61985147.4508045,"Queens",NA,NA,NA,NA,NA,NA,NA,296.5,323.083333333333,313.666666666667,347.5,340.583333333333,364.75,380.916666666667,408.833333333333,394,397.307692307692,408.666666666667,450.75,476.75,535.333333333333,582.6,9.44
"159","11102",33944,19116258.4369194,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.76
"221","11370",40591,23600231.4880305,"Queens",NA,NA,NA,NA,NA,NA,NA,279,300.75,269.916666666667,318.75,317.166666666667,308.75,369.333333333333,365.5,346.333333333333,344.076923076923,347.166666666667,369.083333333333,426.333333333333,483.916666666667,535.8,17.2
"23","10021",45299,10495133.4084987,"New York",NA,NA,NA,NA,NA,NA,NA,NA,933.75,948.833333333333,1086.33333333333,1148.41666666667,1230.91666666667,1084.91666666667,1009.33333333333,1057.41666666667,1074.07692307692,1150.08333333333,1250.16666666667,1294.66666666667,1396,1409.2,43.16
"209","11358",37743,54622541.0857367,"Queens",NA,NA,NA,NA,NA,NA,NA,264.5,314.916666666667,365.25,417.5,406.916666666667,400,376.75,381.333333333333,369.75,365.923076923077,380.75,421.75,440.25,483,518.2,6.91
"213","11362",17707,54680551.219371,"Queens",NA,NA,NA,NA,NA,NA,NA,299.5,342.5,395.75,465.583333333333,448.583333333333,439.416666666667,417.166666666667,427.416666666667,409,402.538461538462,414.5,442.916666666667,461,503,532.4,3.24
"46","10044",11661,6296113.26884279,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52
"220","11369",38116,30060493.2463742,"Queens",NA,NA,NA,NA,NA,NA,NA,204,245,290.583333333333,361.75,377.75,351.5,304.916666666667,289.166666666667,276.75,272.538461538462,282.75,315.166666666667,341.25,382.666666666667,414.2,12.68
